,Host_Year,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,1962,Chile,,5.24527188577721,4.026685624679359,5.840140136975339,2.5572205423192402,0.950272505266042,11.2362424530091,3.6159998550265597,3.59201332908737,3.93798327923392,1.82896697107341,9.42268621200233,-1.01994779488233,-5.02924835493734,2.3821493322840404,-12.912101052158402,3.8325840087308998,10.444686375308802,7.701103605023871,8.41830468602053,7.986620757424821,6.5253703654798,-11.014305060839,-5.01742052484838,4.10368324170109,4.0099162018122705,5.377692322237309,6.46046852848674,7.34511045469792,9.92338289712409,3.33356547272084,7.80439218641014,11.1667077338886,6.58878382654488,5.030197977423059,8.93329586945268,6.802916595776889,7.427889807890151,4.324579496856339,-0.412096167033098,5.32693841912359,3.30304731250872,3.10697053227061,4.09104768470421,7.2095397094503495,5.742830489451151,6.31717634314714,4.905324503561559,3.52953055326518,-1.5642394429907,5.84417729578992,6.11091882913645,5.31862800041417,4.0450042981542405,1.9096933584245102,2.25253675273669,1.58902256358428
1,1966,United Kingdom,,2.57356996313493,1.3279931785238102,3.9562411667375397,5.03828244878244,2.7889768283330096,2.04931117754337,2.31096510055488,3.9847379946767796,2.0524456510885303,6.59628652100466,3.48436803631409,4.30194591910262,6.508720793273651,-2.4634101667403,-1.47906165861521,2.91005909082574,2.44309376080768,4.20184942695502,3.7414535629806,-2.02776856155448,-0.770989934100299,2.01055980449532,4.22191756876859,2.27623559237631,4.195325468875979,3.1242789700847204,5.306559400979821,5.74762691116879,2.56940445973237,0.731800511871981,-1.08654325327457,0.373976458666476,2.5269248787314798,3.8800385173536402,2.46973445248213,2.5386544467447902,4.03824841443185,3.13780843053055,3.21672459154598,3.66412896042961,2.5441305733758797,2.45787761727294,3.3259093154025696,2.36445533735395,3.09608893680313,2.45599965111292,2.3567082298228903,-0.47254031742349395,-4.1877594383223995,1.6945471397559801,1.4526239700938701,1.48132982903095,2.0523885084233098,3.0542510117523802,2.34593951714504,1.93579094969158
2,1970,Mexico,,5.000000002433481,4.66441466819325,8.10688692769652,11.905480768231001,7.099999995858821,6.096139304047309,5.85492487760926,9.423278818335769,3.4186200255592203,6.502484033323059,3.7624676858320805,8.22880731164943,7.86111986077984,5.77682722978716,5.74448504962162,4.417444135043571,3.39063970677687,8.956942328255948,9.69817013786911,9.233251983886381,8.77260056065165,-0.6279026099488051,-4.19629657398534,3.6101809119739596,2.5933841396852,-3.7539198810599,1.8557469918911897,1.24543805816761,4.19829325842322,5.06830631319019,4.22225071573448,3.6286587131217702,4.0614258541979105,4.72735482911108,-5.758682379897809,5.87476668289335,6.96288880136974,4.70184241601579,2.66701314742662,5.296473838463769,-0.6054923900873921,0.131917168641934,1.42267124240306,4.2957142512237,3.03257365857694,4.94451434826912,3.20412301672219,1.40029037023363,-4.700338862851059,5.110198489943611,4.04461387888593,4.01817386885878,1.36007714397567,2.27007351287607,2.64970741219652,2.28586132359835
3,1974,Germany,,,,,,,,,,,,3.13269975367778,4.30034129410552,4.7774869132114,0.890068704199294,-0.866738895212265,4.94925839213008,3.3472180880346696,3.0084928768685297,4.1503633330354,1.4088286592460302,0.529240537221568,-0.394840745632834,1.57241014934053,2.8229478341374503,2.32793521988923,2.2873392689723198,1.4021515740941297,3.7072356687243198,3.8965517241943197,5.25500608609781,5.108261507945571,1.92380701113764,-0.956165307017542,2.45737182000687,1.7376406312156298,0.8178976170142109,1.84920066980847,1.97961840703675,1.9871349492866102,2.9620453678452403,1.69547145188611,0.0,-0.7099061718807891,1.16997041286515,0.7067139481002299,3.7001595720548397,3.26053529682157,1.0823154039190501,-5.61886043465857,4.07993330487069,3.66000015503516,0.49199282913805603,0.489584482494635,1.9296904098075802,1.7432053936599299,1.94362542781317
4,1978,Argentina,,5.427842879512481,-0.8520215234819659,-5.308196826517269,10.1302976614338,10.5694333403429,-0.659726171593704,3.1919966233703,4.82250078158646,9.67952600806899,3.04564331900328,5.65813108318036,1.6284165162551103,2.81175404095775,5.53380439483222,-0.0284121027670921,-2.01825151667566,6.934147755379749,-4.506124802476929,10.222763464872699,4.151762342445569,-5.68952800019454,-4.957178519040211,3.87512342400915,2.21177350377243,-7.58667718413531,7.87577983041486,2.9099931305710096,-2.5569048769462497,-7.496189583724759,-2.3989592189008797,12.669710091596901,11.9407747322281,5.90691949180228,5.83620070368526,-2.84520961057081,5.526689827152341,8.1110467707457,3.85017885156229,-3.3854570406327005,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.837040795769239,9.02957330068155,8.85165992013435,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.003951692805789,-1.0264204544320799,2.40532378079436,-2.5126153208139597,2.64727141477579,-2.2453441336615603
5,1982,Spain,,11.8386741948331,9.95343810301786,9.59649887419747,5.308510245571401,6.25313489898502,7.24606030950793,4.34033841707509,6.597020137583059,8.907015555270892,4.29063938766936,4.64947347775141,8.14974586920869,7.7884652526876605,5.6187857595752195,0.542203325012579,3.3037915129939,2.83857430409734,1.46300337365363,0.0415465206042001,2.20872811830488,-0.132468612535618,1.24646170626323,1.7701157793077,1.78468752199581,2.3214358569219904,3.25332172455764,5.54712261243782,5.09432421946521,4.82703029628284,3.78139346477435,2.5460005678720097,0.9292154288993401,-1.0314917745214,2.38319531577503,2.7574940329506497,2.67478358786684,3.68961399843444,4.30597844697085,4.48477443037206,5.28909959505918,4.001073835401311,2.87987609719458,3.18757147564497,3.1667465006120596,3.7230017884165494,4.17412318641999,3.7689924077177297,1.11768686002978,-3.5737514486915694,0.0140638777627089,-0.9987649581149609,-2.9277505071771097,-1.70570500034654,1.37999723824269,3.4322533279236502,3.2744627396774195
6,1986,Mexico,,5.000000002433481,4.66441466819325,8.10688692769652,11.905480768231001,7.099999995858821,6.096139304047309,5.85492487760926,9.423278818335769,3.4186200255592203,6.502484033323059,3.7624676858320805,8.22880731164943,7.86111986077984,5.77682722978716,5.74448504962162,4.417444135043571,3.39063970677687,8.956942328255948,9.69817013786911,9.233251983886381,8.77260056065165,-0.6279026099488051,-4.19629657398534,3.6101809119739596,2.5933841396852,-3.7539198810599,1.8557469918911897,1.24543805816761,4.19829325842322,5.06830631319019,4.22225071573448,3.6286587131217702,4.0614258541979105,4.72735482911108,-5.758682379897809,5.87476668289335,6.96288880136974,4.70184241601579,2.66701314742662,5.296473838463769,-0.6054923900873921,0.131917168641934,1.42267124240306,4.2957142512237,3.03257365857694,4.94451434826912,3.20412301672219,1.40029037023363,-4.700338862851059,5.110198489943611,4.04461387888593,4.01817386885878,1.36007714397567,2.27007351287607,2.64970741219652,2.28586132359835
7,1990,Italy,,8.20724591384763,6.203650457871389,5.60972797819829,2.79770227911493,3.2680237196417496,5.98479422519719,7.178612465561769,6.54455465470541,6.0980599955859995,5.26869296541967,1.81810799188769,3.69048574266739,7.1258623050650405,5.50014113577141,-2.0901629242335003,7.125385155094089,2.5605007973499303,3.2401398025085895,5.95915944585934,3.4300163804981203,0.84422762725049,0.41358566529945096,1.1692034923336498,3.22585238366686,2.7980857272685897,2.8599718884065597,3.1919606144327903,4.19437727299712,3.38838350857911,1.98577490336878,1.5384475515776297,0.83427547006329,-0.85280575789271,2.15102364513693,2.88683673940436,1.2863694039148201,1.83536198966301,1.6160760336055702,1.55985028026575,3.7101065868926097,1.7721887614099499,0.24854743956910896,0.151318188408439,1.5819388612924299,0.9496662576486591,2.00658665474469,1.47386854661877,-1.05040283480383,-5.482055040147441,1.68652340308921,0.576623022104201,-2.81901377925493,-1.72816080249231,0.113673237878274,0.9519588718509621,0.8582626300083259
8,1994,United States,,2.29999999999977,6.099999999999991,4.40000000000002,5.800000000000139,6.3999999999998405,6.500000000000241,2.5000000000000298,4.7999999999997405,3.10000000000004,3.20680725745444,3.2954767283617596,5.26326277619982,5.64312484755203,-0.5171545622252299,-0.197678536519447,5.386090050755469,4.60859740653179,5.5616849289446,3.17569075012061,-0.244596225208085,2.5944703882315094,-1.91089106804856,4.63245718120484,7.25908695936059,4.23873752083914,3.5116144990922002,3.46174769185008,4.20397197941298,3.68052403304713,1.91937029742549,-0.0740845307123976,3.5553961476675804,2.7458567189227496,4.03764342486481,2.7189757887819304,3.7958812294258704,4.48702649316731,4.44991096328404,4.68519960839866,4.09217644881066,0.9759818339321241,1.78612768745552,2.8067759564809305,3.7857428496944396,3.34521606334877,2.666625826122,1.77857023965289,-0.291621458693953,-2.77552957416808,2.53192061616315,1.6014546724713898,2.22403085385714,1.6773315299245302,2.56919359418927,2.86158702527237,1.4852791931914602
9,1998,France,,5.5062724371174205,6.672174626335651,5.34717376737879,6.51833830272174,4.77803517697649,5.21400805193714,4.68815882065179,4.25902468977274,6.99053053392915,5.727118376388231,5.34571156012025,4.54157892774722,6.3104506593780805,4.29135183155316,-0.980162270963461,4.31424610713003,3.4513689459161605,3.97880585334404,3.5591123229852,1.58818898844815,1.07774460062559,2.50853125433588,1.25629647397459,1.52446943066113,1.62324458918471,2.3512422887403903,2.5773220655110403,4.733954269423781,4.35323114095763,2.9140097005021803,1.0391053305881301,1.59967121382168,-0.6126528334432491,2.3453855933703,2.08508453656513,1.3880040284493,2.33733340443808,3.5562012522861,3.40709914884665,3.87516225904459,1.9544494245925301,1.1184568915501498,0.8195316695966279,2.7864241107792505,1.60771381415587,2.37494689958575,2.3614988732395803,0.195294765594184,-2.94134105462597,1.96565737478667,2.07922917455807,0.18269303354747998,0.576241546834495,0.9475864712790669,1.0674616484885,1.18765038151487
